# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
395776 96.625 1.10622166015084e-10
396288 96.75 1.10622166015084e-10
396800 96.875 1.10622166015084e-10
397312 97 1.10622166015084e-10
397824 97.125 1.10622166015084e-10
398336 97.25 1.10622166015084e-10
398848 97.375 1.10622166015084e-10
399360 97.5 1.10622166015084e-10
399872 97.625 1.10622166015084e-10
400384 97.75 1.10622166015084e-10
400896 97.875 1.10622166015084e-10
401408 98 1.10622166015084e-10
401920 98.125 1.10622166015084e-10
402432 98.25 1.10622166015084e-10
402944 98.375 1.10622166015084e-10
403456 98.5 1.10622166015084e-10
403968 98.625 1.10622166015084e-10
404480 98.75 1.10622166015084e-10
404992 98.875 1.10622166015084e-10
405504 99 1.10622166015084e-10
406016 99.125 1.10622166015084e-10
406528 99.25 1.10622166015084e-10
407040 99.375 1.10622166015084e-10
407552 99.5 1.10622166015084e-10
408064 99.625 1.10622166015084e-10
408576 99.75 1.10622166015084e-10
409088 99.875 1.10622166015084e-10
409600 100 1.10622166015084e-10
410112 100.125 1.10622166015084e-10
410624 100.25 1.10622166015084e-10
411136 100.375 1.10622166015084e-10
411648 100.5 1.10622166015084e-10
412160 100.625 1.10622166015084e-10
412672 100.75 1.10622166015084e-10
413184 100.875 1.10622166015084e-10
413696 101 1.10622166015084e-10
414208 101.125 1.10622166015084e-10
414720 101.25 1.10622166015084e-10
415232 101.375 1.10622166015084e-10
415744 101.5 1.10622166015084e-10
416256 101.625 1.10622166015084e-10
416768 101.75 1.10622166015084e-10
417280 101.875 1.10622166015084e-10
417792 102 1.10622166015084e-10
418304 102.125 1.10622166015084e-10
418816 102.25 1.10622166015084e-10
419328 102.375 1.10622166015084e-10
419840 102.5 1.10622166015084e-10
420352 102.625 1.10622166015084e-10
420864 102.75 1.10622166015084e-10
421376 102.875 1.10622166015084e-10
421888 103 1.10622166015084e-10
422400 103.125 1.10622166015084e-10
422912 103.25 1.10622166015084e-10
423424 103.375 1.10622166015084e-10
423936 103.5 1.10622166015084e-10
424448 103.625 1.10622166015084e-10
424960 103.75 1.10622166015084e-10
425472 103.875 1.10622166015084e-10
425984 104 1.10622166015084e-10
426496 104.125 1.10622166015084e-10
427008 104.25 1.10622166015084e-10
427520 104.375 1.10622166015084e-10
428032 104.5 1.10622166015084e-10
428544 104.625 1.10622166015084e-10
429056 104.75 1.10622166015084e-10
429568 104.875 1.10622166015084e-10
430080 105 1.10622166015084e-10
430592 105.125 1.10622166015084e-10
431104 105.25 1.10622166015084e-10
431616 105.375 1.10622166015084e-10
432128 105.5 1.10622166015084e-10
432640 105.625 1.10622166015084e-10
433152 105.75 1.10622166015084e-10
433664 105.875 1.10622166015084e-10
434176 106 1.10622166015084e-10
434688 106.125 1.10622166015084e-10
435200 106.25 1.10622166015084e-10
435712 106.375 1.10622166015084e-10
436224 106.5 1.10622166015084e-10
436736 106.625 1.10622166015084e-10
437248 106.75 1.10622166015084e-10
437760 106.875 1.10622166015084e-10
438272 107 1.10622166015084e-10
438784 107.125 1.10622166015084e-10
439296 107.25 1.10622166015084e-10
439808 107.375 1.10622166015084e-10
440320 107.5 1.10622166015084e-10
440832 107.625 1.10622166015084e-10
441344 107.75 1.10622166015084e-10
441856 107.875 1.10622166015084e-10
442368 108 1.10622166015084e-10
442880 108.125 1.10622166015084e-10
443392 108.25 1.10622166015084e-10
443904 108.375 1.10622166015084e-10
444416 108.5 1.10622166015084e-10
444928 108.625 1.10622166015084e-10
445440 108.75 1.10622166015084e-10
445952 108.875 1.10622166015084e-10
446464 109 1.10622166015084e-10
446976 109.125 1.10622166015084e-10
