# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
1188864 290.25 -0.0017328815377898
1189376 290.375 -0.00173207762593061
1189888 290.5 -0.00173132550367665
1190400 290.625 -0.00173060597859401
1190912 290.75 -0.00172989867910748
1191424 290.875 -0.00172919494158099
1191936 291 -0.00172848404246017
1192448 291.125 -0.00172775567175771
1192960 291.25 -0.00172702248162911
1193472 291.375 -0.00172631943599897
1193984 291.5 -0.00172566692642273
1194496 291.625 -0.00172504413946028
1195008 291.75 -0.00172441122652893
1195520 291.875 -0.00172375313725151
1196032 292 -0.00172308989439272
1196544 292.125 -0.00172244422503049
1197056 292.25 -0.00172181152033212
1197568 292.375 -0.00172116963479626
1198080 292.5 -0.00172051234110249
1198592 292.625 -0.00171986085895763
1199104 292.75 -0.00171923788384629
1199616 292.875 -0.00171863759154644
1200128 293 -0.00171802976549554
1200640 293.125 -0.00171739161606556
1201152 293.25 -0.0017167275329575
1201664 293.375 -0.00171605771887717
1202176 293.5 -0.00171539740757056
1202688 293.625 -0.00171475171479152
1203200 293.75 -0.00171412136133899
1203712 293.875 -0.00171350263879155
1204224 294 -0.00171288408738683
1204736 294.125 -0.00171225304038335
1205248 294.25 -0.0017116080120032
1205760 294.375 -0.00171095960216876
1206272 294.5 -0.0017103180748476
1206784 294.625 -0.0017096854586758
1207296 294.75 -0.00170906216618698
1207808 294.875 -0.00170845527789777
1208320 295 -0.00170787272438756
1208832 295.125 -0.00170730884885492
1209344 295.25 -0.00170674224205627
1209856 295.375 -0.0017061546033354
1210368 295.5 -0.00170555292436071
1210880 295.625 -0.00170496842542231
1211392 295.75 -0.00170442849414473
1211904 295.875 -0.00170392931440014
1212416 296 -0.0017034389761174
1212928 296.125 -0.00170292782317439
1213440 296.25 -0.00170239359972567
1213952 296.375 -0.00170185856895388
1214464 296.5 -0.00170134809989114
1214976 296.625 -0.0017008731859311
1215488 296.75 -0.0017004253413965
1216000 296.875 -0.00169998070682425
1216512 297 -0.00169951358248511
1217024 297.125 -0.00169901748384068
1217536 297.25 -0.0016985160118858
1218048 297.375 -0.0016980444723603
1218560 297.5 -0.00169761317815079
1219072 297.625 -0.00169719154462908
1219584 297.75 -0.00169673525935685
1220096 297.875 -0.0016962308305858
1220608 298 -0.00169571036221926
1221120 298.125 -0.00169522100274313
1221632 298.25 -0.00169478034259261
1222144 298.375 -0.00169436026216218
1222656 298.5 -0.00169391173143211
1223168 298.625 -0.00169340675348114
1223680 298.75 -0.00169286172979837
1224192 298.875 -0.00169232338949103
1224704 299 -0.00169182909244994
1225216 299.125 -0.00169137560284118
1225728 299.25 -0.00169092441748799
1226240 299.375 -0.00169043830578656
1226752 299.5 -0.00168991331928469
1227264 299.625 -0.00168937672807181
1227776 299.75 -0.00168885788899843
1228288 299.875 -0.00168836426849981
1228800 300 -0.00168788308375559
1229312 300.125 -0.00168739906313435
1229824 300.25 -0.00168690689099151
1230336 300.375 -0.00168641040915386
1230848 300.5 -0.00168591606475592
1231360 300.625 -0.00168542849827668
1231872 300.75 -0.00168494929760611
1232384 300.875 -0.00168447754691161
1232896 301 -0.00168401139438749
1233408 301.125 -0.00168354897948105
1233920 301.25 -0.00168308798767261
1234432 301.375 -0.00168262680106676
1234944 301.5 -0.00168216890266173
1235456 301.625 -0.00168172443985012
1235968 301.75 -0.00168130182009987
1236480 301.875 -0.00168089533460926
1236992 302 -0.00168048530380775
1237504 302.125 -0.00168005574976999
1238016 302.25 -0.00167961203495067
1238528 302.375 -0.00167917788717468
1239040 302.5 -0.00167877412641441
1239552 302.625 -0.00167840103542918
1240064 302.75 -0.00167803965886799
1240576 302.875 -0.00167766722304434
