# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
141824 34.625 2.04547396417507e-05 2.04546801426237e-05 2.04548227515254e-05
142336 34.75 2.05683390558215e-05 2.05683574977259e-05 2.05683369209336e-05
142848 34.875 2.10794229088075e-05 2.10793780797966e-05 2.10792778935269e-05
143360 35 2.25466741915007e-05 2.25466498511698e-05 2.2546532309424e-05
143872 35.125 2.2605327895116e-05 2.26054273967279e-05 2.26053918670796e-05
144384 35.25 2.38526443978806e-05 2.38527768989436e-05 2.38527947625603e-05
144896 35.375 2.42298839774082e-05 2.42299898583775e-05 2.42301019697785e-05
145408 35.5 2.50663395981137e-05 2.50665533398926e-05 2.50666748682115e-05
145920 35.625 2.61766576126093e-05 2.6176621892429e-05 2.61766401659142e-05
146432 35.75 2.78894313257461e-05 2.78893976659614e-05 2.78893160990235e-05
146944 35.875 2.88573817944481e-05 2.88573805834733e-05 2.88572989152564e-05
147456 36 3.17085847892677e-05 3.17086342532906e-05 3.1708584912521e-05
147968 36.125 3.32313886499104e-05 3.32315346935855e-05 3.32315913412078e-05
148480 36.25 3.59414305102692e-05 3.59414583998913e-05 3.59415020643144e-05
148992 36.375 3.9491121624276e-05 3.94911129292862e-05 3.94909829777513e-05
149504 36.5 4.24964324471474e-05 4.24967064958001e-05 4.24967311703149e-05
150016 36.625 4.11092136152642e-05 4.11096090947253e-05 4.11096716538128e-05
150528 36.75 3.60720094666184e-05 3.60723269832638e-05 3.60723015095257e-05
151040 36.875 3.04850529888571e-05 3.04849418543111e-05 3.04848334336088e-05
151552 37 3.39405686856189e-05 3.39404966104087e-05 3.39404446708091e-05
152064 37.125 3.52345560473594e-05 3.52344786110978e-05 3.5234457983333e-05
152576 37.25 3.76928670500858e-05 3.76928805960272e-05 3.76928954229209e-05
153088 37.375 4.02263683120363e-05 4.02263720108972e-05 4.02264527003521e-05
153600 37.5 4.28286467114065e-05 4.28288272351443e-05 4.2828546074691e-05
154112 37.625 4.49575027004838e-05 4.49575506492133e-05 4.49575024503502e-05
154624 37.75 4.53430787343238e-05 4.53431737917779e-05 4.53431517067518e-05
155136 37.875 4.17417296660956e-05 4.17418937623073e-05 4.17419162837893e-05
155648 38 3.47596003678287e-05 3.47598120257295e-05 3.4759884529092e-05
156160 38.125 3.44704259653055e-05 3.44704488966042e-05 3.44703903822466e-05
