# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
384512 93.875 0.00179292866994509
385024 94 0.00179063259904394
385536 94.125 0.0017883401855454
386048 94.25 0.00178605136120252
386560 94.375 0.00178376609269731
387072 94.5 0.00178148438790024
387584 94.625 0.00177920629780588
388096 94.75 0.00177693191060109
388608 94.875 0.00177466134364209
389120 95 0.0017723947406382
389632 95.125 0.00177013227132054
390144 95.25 0.00176787412422043
390656 95.375 0.00176562048802475
391168 95.5 0.00176337152769957
391680 95.625 0.00176112736825046
392192 95.75 0.00175888809496128
392704 95.875 0.00175665376617043
393216 96 0.00175442442391357
393728 96.125 0.00175220008914854
394240 96.25 0.00174998074110431
394752 96.375 0.00174776629309994
395264 96.5 0.00174555657902823
395776 96.625 0.001743351355581
396288 96.75 0.00174115031078848
