# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
674816 164.75 2.9610392389415e-05
675328 164.875 2.96016448096172e-05
675840 165 2.9592901987002e-05
676352 165.125 2.95842039739491e-05
676864 165.25 2.95745694553085e-05
677376 165.375 2.95641729895669e-05
677888 165.5 2.95538023804606e-05
678400 165.625 2.95441817813784e-05
678912 165.75 2.95346361592184e-05
679424 165.875 2.95243695759569e-05
679936 166 2.95135873449324e-05
680448 166.125 2.95028975360473e-05
680960 166.25 2.94921079139263e-05
681472 166.375 2.9480658853539e-05
681984 166.5 2.94687955409806e-05
682496 166.625 2.94571886278297e-05
683008 166.75 2.94460625244724e-05
683520 166.875 2.94346188288402e-05
684032 167 2.94226566035534e-05
684544 167.125 2.94105433696104e-05
685056 167.25 2.93983450749079e-05
685568 167.375 2.93860400661664e-05
686080 167.5 2.93732055703603e-05
686592 167.625 2.9360173522901e-05
687104 167.75 2.93473431538053e-05
687616 167.875 2.93348770093644e-05
688128 168 2.93221403646414e-05
688640 168.125 2.93090331380979e-05
689152 168.25 2.92956119734961e-05
689664 168.375 2.92820725785477e-05
690176 168.5 2.92682117827714e-05
690688 168.625 2.92538655327726e-05
691200 168.75 2.92392925507456e-05
691712 168.875 2.9224734631137e-05
692224 169 2.92101954320536e-05
692736 169.125 2.91954168592961e-05
693248 169.25 2.91806230694046e-05
693760 169.375 2.91655837543844e-05
694272 169.5 2.91504098677717e-05
694784 169.625 2.91349315744451e-05
695296 169.75 2.91194890595152e-05
695808 169.875 2.91040913653838e-05
696320 170 2.90883807154861e-05
696832 170.125 2.90724185158905e-05
697344 170.25 2.9056196202408e-05
697856 170.375 2.90398520407918e-05
698368 170.5 2.90234274002094e-05
698880 170.625 2.90067216828234e-05
699392 170.75 2.8989843803999e-05
699904 170.875 2.89729446029303e-05
700416 171 2.89560756800399e-05
700928 171.125 2.89387776531168e-05
701440 171.25 2.89211924593227e-05
701952 171.375 2.89032421972944e-05
702464 171.5 2.88849636067217e-05
702976 171.625 2.88665067908762e-05
